ort;gid;GENERATION;Informant;PAM-Wert_WSS;Kontrollwert_WSS;PAM-Wert_NOSO;Kontrollwert_NOSO;PAM-Wert_INT;Kontrollwert_INT;PAM-Wert_FG;Kontrollwert_FG;PAM-Wert_WSD;Kontrollwert_WSD;;;;;;;;;;;;
Hirschau;82073;mittel;AM3;1,35;1,00;1,17;1,00;2,46;1,90;2,75;2,40;2,47;2,10;;;;;;;;;;;;
Hirschau;82073;jung;AMJUNG2;NA;1,20;NA;1,30;NA;1,30;NA;1,70;NA;2,30;;;;;;;;;;;;
Weiden;73125;alt;WENALT2;1,22;1,10;1,55;1,40;2,04;1,70;2,54;2,40;2,40;2,40;;;;;;;;;;;;
Weiden;73125;mittel;WEN2;1,48;1,10;1,42;1,20;NA;1,90;2,41;2,00;2,58;2,00;;;;;;;;;;;;
Weiden;73125;jung;WENJUNG2;NA;1,20;NA;1,30;NA;1,90;NA;1,80;NA;2,10;;;;;;;;;;;;
Ingolstadt;89888;alt;INALT1;1,34;1,10;1,33;1,20;1,83;1,70;2,56;2,20;2,59;2,40;;;;;;;;;;;;
Ingolstadt;89888;mittel;IN6;1,47;1,20;1,60;1,30;2,33;2,00;2,76;2,50;2,77;2,50;;;;;;;;;;;;
Ingolstadt;89888;jung;INJUNG1;1,47;1,10;1,45;1,00;NA;1,70;NA;2,00;2,37;2,30;;;;;;;;;;;;
Regensburg;77282;alt;RALT1;1,28;0,90;1,35;1,20;2,19;1,50;2,60;2,10;2,21;2,20;;;;;;;;;;;;
Regensburg;77282;mittel;R3;1,31;1,00;1,16;1,10;2,60;2,30;2,73;2,40;2,49;2,30;;;;;;;;;;;;
Regensburg;77282;jung;RJUNG1;NA;0,60;NA;0,60;NA;0,90;NA;1,10;NA;2,10;;;;;;;;;;;;
München;73556;alt;MALT1;1,64;1,30;1,46;1,20;2,37;1,90;NA;2,00;2,80;2,40;;;;;;;;;;;;
München;73556;mittel;M9;1,31;1,10;1,49;1,20;2,66;2,20;2,53;2,30;2,65;2,40;;;;;;;;;;;;
München;73556;jung;MJUNG1;NA;0,40;NA;0,50;NA;0,90;NA;0,80;NA;0,60;;;;;;;;;;;;
Trostberg;75512;alt;TSALT1;1,19;1,00;1,20;1,10;NA;1,80;2,73;2,30;2,73;2,40;;;;;;;;;;;;
Trostberg;75512;mittel;TS2;0,96;0,80;1,14;0,90;NA;1,80;2,92;2,10;2,41;2,20;;;;;;;;;;;;
Trostberg;75512;jung;TSJUNG1;1,19;0,90;1,07;1,00;NA;1,10;NA;2,00;NA;2,10;;;;;;;;;;;;
Kaufbeuren;83571;alt;KFALT3;1,29;1,10;1,21;1,10;1,91;1,50;2,69;2,50;2,98;2,70;;;;;;;;;;;;
Kaufbeuren;83571;mittel;KF1;1,15;1,00;1,42;1,10;2,09;1,80;2,20;1,90;2,83;2,60;;;;;;;;;;;;
Kaufbeuren;83571;jung;KFJUNG1;1,00;0,70;1,14;0,80;1,50;1,10;1,36;1,00;2,27;2,20;;;;;;;;;;;;
Ulm;127525;alt;ULALT1;1,63;1,40;1,67;1,10;2,50;2,10;2,78;2,40;2,68;2,60;;;;;;;;;;;;
Ulm;127525;mittel;UL1;1,12;0,90;1,45;1,10;2,22;1,70;2,82;2,30;2,59;2,30;;;;;;;;;;;;
Ulm;127525;jung;ULJUNG2;1,23;1,10;1,20;1,00;1,94;1,90;2,30;2,10;2,42;2,40;;;;;;;;;;;;
Balingen;129371;alt;BLALT1;1,46;1,30;1,67;1,50;2,53;2,20;2,49;2,40;2,69;2,70;;;;;;;;;;;;
Balingen;129371;mittel;BL2;1,08;0,80;1,31;1,10;2,34;2,00;2,52;2,20;2,60;2,50;;;;;;;;;;;;
Balingen;129371;jung;BLJUNG1;1,12;0,90;1,21;1,00;1,42;1,20;1,37;1,40;2,31;2,20;;;;;;;;;;;;
Rudersberg;131121;alt;WNALT1;1,29;1,10;1,49;1,30;1,61;1,40;2,69;2,50;2,49;2,50;;;;;;;;;;;;
Rudersberg;131121;mittel;WN3;1,12;0,80;1,25;1,00;2,07;2,00;NA;2,30;2,45;2,50;;;;;;;;;;;;
Rudersberg;131121;jung;WNJUNG1;1,19;1,00;1,25;1,10;NA;1,20;1,54;1,40;2,41;2,30;;;;;;;;;;;;
Blindheim;78986;alt;DLGALT2;1,70;1,40;1,18;1,00;1,81;1,60;2,42;2,30;2,46;2,30;;;;;;;;;;;;
Blindheim;78986;mittel;DLG1;1,55;1,30;1,46;1,50;2,08;1,80;2,49;2,10;2,53;2,60;;;;;;;;;;;;
Blindheim;78986;jung;DLGJUNG2;1,29;1,00;1,40;1,10;1,67;1,50;2,04;1,60;2,60;2,50;;;;;;;;;;;;
Bräunlingen;127324;mittel;VS3;0,99;0,55;0,95;0,73;1,99;1,27;2,11;1,53;2,63;2,33;;;;;;;;;;;;
Bräunlingen;127324;alt;VSALT2;1,17;0,77;1,09;0,81;2,00;1,46;2,26;1,77;2,69;2,42;;;;;;;;;;;;
Bräunlingen;127324;jung;VSJUNG1;1,05;0,58;1,19;0,54;1,86;1,40;2,19;1,82;2,59;2,32;;;;;;;;;;;;
Tuttlingen;130272;mittel;TUT3;1,30;0,77;1,46;1,01;2,26;1,63;2,23;1,82;2,61;2,07;;;;;;;;;;;;
Tuttlingen;130272;alt;TUTALT2;1,07;0,66;1,26;0,95;1,72;1,15;2,32;1,65;2,00;1,81;;;;;;;;;;;;
Tuttlingen;130272;jung;TUTJUNG1;0,73;0,50;0,77;0,50;1,19;0,64;1,58;0,83;2,20;1,83;;;;;;;;;;;;
Ohlsbach;128482;mittel;OG2;1,09;0,70;1,34;0,87;1,99;1,41;2,19;1,98;2,42;2,15;;;;;;;;;;;;
Ohlsbach;128482;alt;OGALT;1,30;0,84;1,31;1,07;2,54;1,98;2,81;2,31;2,50;2,21;;;;;;;;;;;;
Ohlsbach;128482;jung;OGJUNG2;0,95;0,53;0,88;0,57;1,75;1,26;2,22;1,89;2,00;1,58;;;;;;;;;;;;
