"","ID","dialect","diaClass_hanna","place","GID","generation","informant","type","progess_lvl","PAM","PAM_add","CTR","CTR_add"
"143",62,"Nordhessisch","westliches Mitteldeutsch","Homberg","96619","alt","HRALT2","WSS","3",0.96,"MA",0.66,"CK"
"144",63,"Nordhessisch","westliches Mitteldeutsch","Homberg","96619","jung","HRJUNG1","WSS","3",0.8,"MA",0.44,"CK"
"148",64,"Zentralhessisch","westliches Mitteldeutsch","Bad Nauheim","99815","alt","FBALT2","WSS","3",1.32,"?",1.2,NA
"149",65,"Zentralhessisch","westliches Mitteldeutsch","Bad Nauheim","99815","mittel","FB1","WSS","3",0.73,"?",0.6,NA
"150",66,"Zentralhessisch","westliches Mitteldeutsch","Bad Nauheim","99815","jung","FBJUNG1","WSS","3",1.42,"?",0.7,NA
"151",67,"Zentralhessisch","westliches Mitteldeutsch","Büdingen","99973","alt","BÜDALT1","WSS","3",1.3,"?",1.2,NA
"152",68,"Zentralhessisch","westliches Mitteldeutsch","Büdingen","99973","mittel","BÜD3","WSS","3",1.14,"?",0.9,NA
"153",69,"Zentralhessisch","westliches Mitteldeutsch","Büdingen","99973","jung","BÜDJUNG1","WSS","3",1.02,"?",0.7,NA
"154",70,"Zentralhessisch","westliches Mitteldeutsch","Gießen","96713","alt","GIALT1","WSS","3",1.55,"?",1.1,NA
"155",71,"Zentralhessisch","westliches Mitteldeutsch","Gießen","96713","mittel","GI11","WSS","3",1.53,"?",1.1,NA
"156",72,"Zentralhessisch","westliches Mitteldeutsch","Gießen","96713","jung","GIJUNG","WSS","3",1.31,"?",0.6,NA
"157",73,"Zentralhessisch","westliches Mitteldeutsch","Ulrichstein","94901","alt","VBALT2","WSS","3",2.1,"?",1.4,NA
"158",74,"Zentralhessisch","westliches Mitteldeutsch","Ulrichstein","94901","mittel","VB2","WSS","3",1.4,"?",1,NA
"159",75,"Zentralhessisch","westliches Mitteldeutsch","Ulrichstein","94901","jung","VBJUNG1","WSS","3",1.48,"?",1.1,NA
"160",76,"Osthessisch","westliches Mitteldeutsch","Hofbieber","100236","alt","FDALT3","WSS","3",1.05,"MA",0.98,"CK"
"161",77,"Osthessisch","westliches Mitteldeutsch","Hofbieber","100236","mittel","FD4","WSS","3",0.72,"MA",0.53,"CK"
"162",78,"Osthessisch","westliches Mitteldeutsch","Hofbieber","100236","jung","FDJUNG1","WSS","3",0.93,"MG",0.32,"SL"
"166",79,"Thüringisch","östliches Mitteldeutsch","Heilbad Heiligenstadt","142955","mittel","EIC1","WSS","2",0.94,"?",0.46,NA
"169",80,"Thüringisch","östliches Mitteldeutsch","Sondershausen","141165","alt","KYFALT2","WSS","3",1.93,"?",1.8,NA
"170",81,"Thüringisch","östliches Mitteldeutsch","Sondershausen","141165","mittel","KYF5","WSS","3",1.42,"?",1.1,NA
"173",82,"Thüringisch-Obersächsisch","östliches Mitteldeutsch","Gera","139192","mittel","G2","WSS","3",1.71,"?",1.1,NA
"179",83,"Obersächsisch","östliches Mitteldeutsch","Dresden","137577","mittel","DD4","WSS","3",1.27,"?",0.9,NA
"182",84,"Obersächsisch","östliches Mitteldeutsch","Reichenbach","137668","mittel","Z9","WSS","3",1.51,"?",1.3,NA
"186",85,"Nordobersächsisch","östliches Mitteldeutsch","Dessau","120091","jung","DEJUNG1","WSS","2",0.91,"?",0.43,NA
"187",86,"Ostfränkisch","Ostoberdeutsch","Ansbach","92718","alt","ANALT2","WSS","3",1.68,"?",1.07,"CK"
"188",87,"Ostfränkisch","Ostoberdeutsch","Ansbach","92718","mittel","AN3","WSS","3",1.06,"?",0.57,"CK"
"189",88,"Ostfränkisch","Ostoberdeutsch","Ansbach","92718","jung","ANJUNG","WSS","3",1.46,"?",0.84,"CK"
"190",89,"Ostfränkisch","Ostoberdeutsch","Bamberg","85574","alt","BAALT","WSS","3",1.12,"?",0.9,NA
"196",90,"Nordbairisch","Ostoberdeutsch","Hirschau","82073","alt","AMALT1","WSS","3",1.63,"?",1.3,NA
"197",91,"Nordbairisch","Ostoberdeutsch","Hirschau","82073","mittel","AM3","WSS","3",1.35,"?",1,NA
"199",92,"Nordbairisch","Ostoberdeutsch","Weiden","73125","alt","WENALT2","WSS","3",1.22,"?",1.1,NA
"200",93,"Nordbairisch","Ostoberdeutsch","Weiden","73125","mittel","WEN2","WSS","3",1.48,"?",1.1,NA
"202",94,"Nordbairisch-Mittelbairisch","Ostoberdeutsch","Ingolstadt","89888","alt","INALT1","WSS","3",1.34,"?",1.1,NA
"203",95,"Nordbairisch-Mittelbairisch","Ostoberdeutsch","Ingolstadt","89888","mittel","IN6","WSS","3",1.47,"?",1.2,NA
"204",96,"Nordbairisch-Mittelbairisch","Ostoberdeutsch","Ingolstadt","89888","jung","INJUNG1","WSS","3",1.47,"MB",1.1,NA
"205",97,"Nordbairisch-Mittelbairisch","Ostoberdeutsch","Regensburg","77282","alt","RALT1","WSS","3",1.28,"?",0.9,NA
"206",98,"Nordbairisch-Mittelbairisch","Ostoberdeutsch","Regensburg","77282","mittel","R3","WSS","3",1.31,"?",1,NA
"208",99,"Mittelbairisch","Ostoberdeutsch","München","73556","alt","MALT1","WSS","3",1.64,"?",1.3,NA
"209",100,"Mittelbairisch","Ostoberdeutsch","München","73556","mittel","M9","WSS","3",1.31,"?",1.1,NA
"214",101,"Mittelbairisch","Ostoberdeutsch","Trostberg","75512","alt","TSALT1","WSS","3",1.19,"MB",1,NA
"215",102,"Mittelbairisch","Ostoberdeutsch","Trostberg","75512","mittel","TS2","WSS","3",0.96,"MB",0.8,NA
"216",103,"Mittelbairisch","Ostoberdeutsch","Trostberg","75512","jung","TSJUNG1","WSS","3",1.19,"MB",0.9,NA
"226",104,"Schwäbisch","Westoberdeutsch","Kaufbeuren","83571","alt","KFALT3","WSS","3",1.29,"?",1.1,NA
"227",105,"Schwäbisch","Westoberdeutsch","Kaufbeuren","83571","mittel","KF1","WSS","3",1.15,"?",1,NA
"228",106,"Schwäbisch","Westoberdeutsch","Kaufbeuren","83571","jung","KFJUNG1","WSS","3",1,"?",0.7,NA
"229",107,"Schwäbisch","Westoberdeutsch","Ulm","127525","alt","ULALT1","WSS","3",1.63,"?",1.4,NA
"230",108,"Schwäbisch","Westoberdeutsch","Ulm","127525","mittel","UL1","WSS","3",1.12,"?",0.9,NA
"231",109,"Schwäbisch","Westoberdeutsch","Ulm","127525","jung","ULJUNG2","WSS","3",1.23,"?",1.1,NA
"232",110,"Schwäbisch","Westoberdeutsch","Balingen","129371","alt","BLALT1","WSS","3",1.46,"?",1.3,NA
"233",111,"Schwäbisch","Westoberdeutsch","Balingen","129371","mittel","BL2","WSS","3",1.08,"?",0.8,NA
"234",112,"Schwäbisch","Westoberdeutsch","Balingen","129371","jung","BLJUNG1","WSS","3",1.12,"?",0.9,NA
